t;y1;y2;y3
0.1000000320;0.9999899682;0.0000099985;0.0000000333
0.1003300650;0.9999899352;0.0000100315;0.0000000333
0.1006600980;0.9999899022;0.0000100645;0.0000000333
0.1009901310;0.9999898692;0.0000100974;0.0000000333
0.1013201640;0.9999898362;0.0000101304;0.0000000334
0.1016501970;0.9999898032;0.0000101634;0.0000000334
0.1019802300;0.9999897702;0.0000101964;0.0000000334
0.1023102630;0.9999897372;0.0000102294;0.0000000334
0.1026402960;0.9999897042;0.0000102624;0.0000000334
0.1029703290;0.9999896712;0.0000102954;0.0000000334
0.1033003620;0.9999896382;0.0000103284;0.0000000334
0.1036303950;0.9999896052;0.0000103614;0.0000000334
0.1039604280;0.9999895722;0.0000103944;0.0000000334
0.1042904610;0.9999895392;0.0000104274;0.0000000333
0.1046204940;0.9999895062;0.0000104605;0.0000000333
0.1049505270;0.9999894732;0.0000104935;0.0000000333
0.1052805600;0.9999894402;0.0000105265;0.0000000333
0.1056105930;0.9999894072;0.0000105595;0.0000000333
0.1059406260;0.9999893742;0.0000105925;0.0000000333
0.1062706590;0.9999893412;0.0000106254;0.0000000333
0.1066006920;0.9999893082;0.0000106585;0.0000000333
0.1069307250;0.9999892752;0.0000106914;0.0000000333
0.1072607580;0.9999892423;0.0000107244;0.0000000333
0.1075907910;0.9999892093;0.0000107574;0.0000000333
0.1079208240;0.9999891763;0.0000107904;0.0000000334
0.1082508570;0.9999891433;0.0000108234;0.0000000334
0.1085808900;0.9999891103;0.0000108564;0.0000000334
0.1089109230;0.9999890773;0.0000108894;0.0000000334
0.1092409560;0.9999890443;0.0000109224;0.0000000334
0.1095709890;0.9999890113;0.0000109554;0.0000000334
0.1099010220;0.9999889783;0.0000109884;0.0000000333
0.1102310550;0.9999889453;0.0000110214;0.0000000333
0.1105610880;0.9999889123;0.0000110544;0.0000000333
0.1108911210;0.9999888793;0.0000110874;0.0000000333
0.1112211540;0.9999888463;0.0000111204;0.0000000333
0.1115511870;0.9999888133;0.0000111534;0.0000000333
0.1118812200;0.9999887803;0.0000111864;0.0000000333
0.1122112530;0.9999887473;0.0000112194;0.0000000333
0.1125412860;0.9999887143;0.0000112524;0.0000000333
0.1128713190;0.9999886813;0.0000112854;0.0000000333
0.1132013520;0.9999886483;0.0000113184;0.0000000333
0.1135313850;0.9999886153;0.0000113513;0.0000000334
0.1138614180;0.9999885823;0.0000113843;0.0000000334
0.1141914510;0.9999885493;0.0000114173;0.0000000334
0.1145214840;0.9999885163;0.0000114503;0.0000000334
0.1148515170;0.9999884833;0.0000114833;0.0000000334
0.1151815500;0.9999884503;0.0000115163;0.0000000334
0.1155115830;0.9999884173;0.0000115493;0.0000000334
0.1158416160;0.9999883843;0.0000115823;0.0000000334
0.1161716490;0.9999883513;0.0000116154;0.0000000334
0.1165016820;0.9999883183;0.0000116484;0.0000000333
0.1168317150;0.9999882853;0.0000116814;0.0000000333
0.1171617480;0.9999882523;0.0000117144;0.0000000333
0.1174917810;0.9999882193;0.0000117474;0.0000000333
0.1178218140;0.9999881863;0.0000117804;0.0000000333
0.1181518470;0.9999881533;0.0000118134;0.0000000333
0.1184818800;0.9999881203;0.0000118464;0.0000000333
0.1188119130;0.9999880873;0.0000118794;0.0000000333
0.1191419460;0.9999880543;0.0000119123;0.0000000334
0.1194719790;0.9999880213;0.0000119453;0.0000000334
0.1198020120;0.9999879883;0.0000119784;0.0000000333
0.1201320450;0.9999879553;0.0000120114;0.0000000333
0.1204620780;0.9999879223;0.0000120443;0.0000000334
0.1207921110;0.9999878893;0.0000120773;0.0000000333
0.1211221440;0.9999878563;0.0000121103;0.0000000334
0.1214521770;0.9999878233;0.0000121433;0.0000000334
0.1217822100;0.9999877903;0.0000121763;0.0000000334
0.1221122430;0.9999877573;0.0000122093;0.0000000334
